City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Deputatskiy,RU,69.3,139.9,6.42,91,36,4.74,scattered clouds
172,Mangai,CD,-4.05,19.5333,70.99,99,100,1.23,light rain
173,Touros,BR,-5.1989,-35.4608,76.37,87,100,10.85,moderate rain
174,Garowe,SO,8.4054,48.4845,82.26,67,65,12.95,broken clouds
175,Lumut,MY,4.2323,100.6298,80.62,83,20,3.44,few clouds
176,Tupik,RU,54.4253,119.9327,36.03,39,54,5.57,broken clouds
177,Kamenka,RU,51.3223,42.7678,43.61,53,0,6.69,clear sky
178,Muisne,EC,0.6,-80.0333,80.46,80,45,8.79,scattered clouds
179,Tura,IN,25.5198,90.2201,72.48,78,0,2.93,clear sky
180,Khatanga,RU,71.9667,102.5,-5.21,100,98,6.85,overcast clouds
181,Padang,ID,-0.9492,100.3543,77.56,82,100,2.86,light rain
182,Santa Maria,BR,-29.6842,-53.8069,67.3,60,0,5.75,clear sky
183,Coos Bay,US,43.3665,-124.2179,56.32,79,40,13.8,scattered clouds
184,Cabo San Lucas,MX,22.8909,-109.9124,89.62,55,0,10.89,clear sky
185,Kavaratti,IN,10.5669,72.642,84.34,71,34,9.93,scattered clouds
186,Teo,ES,42.75,-8.5,66.87,47,0,2.3,clear sky
187,Te Anau,NZ,-45.4167,167.7167,57.33,94,100,2.68,overcast clouds
188,Tessalit,ML,20.1986,1.0114,87.48,12,50,14.88,scattered clouds
189,Moyamba,SL,8.1667,-12.4333,78.31,88,58,3.27,broken clouds
190,Soldotna,US,60.4878,-151.0583,56.95,54,0,10.36,clear sky
191,Cherskiy,RU,68.75,161.3,29.71,96,100,4.94,overcast clouds
192,Port Hawkesbury,CA,45.6169,-61.3485,44.19,54,0,11.5,clear sky
193,Shingu,JP,33.7333,135.9833,60.42,84,13,6.44,few clouds
194,Caala,AO,-12.8525,15.5606,63.07,65,100,1.66,overcast clouds
195,Chirongui,YT,-12.9319,45.1483,80.53,73,40,5.99,scattered clouds
196,Turukhansk,RU,65.8167,87.9833,11.16,86,100,19.55,overcast clouds
197,Roma,US,43.2128,-75.4557,60.39,30,0,10.36,clear sky
198,Carinhanha,BR,-14.3047,-43.765,85.42,40,83,7.16,broken clouds
199,Green River,US,41.5286,-109.4662,61.99,30,98,14.0,overcast clouds
200,Alta Floresta,BR,-9.8756,-56.0861,93.02,49,40,5.75,scattered clouds
201,Shetpe,KZ,44.1667,52.1167,61.05,91,59,6.58,moderate rain
202,Areia Branca,BR,-4.9561,-37.1369,84.4,80,100,19.28,overcast clouds
203,Severo-Kurilsk,RU,50.6789,156.125,41.47,89,100,4.07,overcast clouds
204,Biak,ID,-0.9131,122.8766,76.91,88,87,3.0,overcast clouds
205,Singaraja,ID,-8.112,115.0882,80.44,84,46,2.82,scattered clouds
206,Scarborough,GB,54.2797,-0.4044,47.77,88,16,1.99,few clouds
207,Tazovskiy,RU,67.4667,78.7,-3.06,100,39,6.44,scattered clouds
208,Riyadh,SA,24.6877,46.7219,78.94,21,0,16.55,clear sky
209,Portland,US,45.5234,-122.6762,55.96,77,100,9.22,overcast clouds
210,Kochi,IN,9.9399,76.2602,78.78,86,60,4.92,broken clouds
211,Maceio,BR,-9.6658,-35.7353,78.24,83,75,3.44,broken clouds
212,Longyearbyen,SJ,78.2186,15.6401,12.04,57,40,14.97,scattered clouds
213,Naron,ES,43.5167,-8.1528,67.05,75,99,6.51,overcast clouds
214,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,75,0.0,broken clouds
215,Fonte Boa,BR,-2.4959,-66.2662,78.28,95,88,1.48,overcast clouds
216,Choctaw,US,35.4976,-97.2689,84.74,64,0,19.57,clear sky
217,Mehamn,NO,71.0357,27.8492,36.25,96,99,23.09,light rain
218,Magadan,RU,59.5667,150.8,33.53,93,100,5.75,overcast clouds
219,Adre,TD,13.4667,22.2,83.53,15,99,2.51,overcast clouds
220,Fairbanks,US,64.8378,-147.7164,50.31,79,0,1.99,clear sky
221,Salinas,US,36.6777,-121.6555,73.99,60,20,16.11,few clouds
222,Maykor,RU,59.0059,55.88,43.45,79,22,7.87,few clouds
223,Chapais,CA,49.7834,-74.8492,47.98,37,14,3.31,few clouds
224,Yatou,CN,37.15,122.3833,53.83,44,100,9.82,overcast clouds
225,Khudumelapye,BW,-23.8833,24.75,64.87,36,74,7.78,broken clouds
226,Kaitong,CN,44.8135,123.15,51.42,21,100,7.47,overcast clouds
227,Hambantota,LK,6.1241,81.1185,80.6,84,100,12.53,overcast clouds
228,Markala,ML,13.7021,-6.0659,99.27,16,48,8.59,scattered clouds
229,Gbongan,NG,7.4667,4.35,75.61,91,89,3.89,overcast clouds
230,Tadine,NC,-21.55,167.8833,74.64,63,91,15.66,overcast clouds
231,Malm,NO,64.0721,11.2172,37.78,87,89,12.39,moderate rain
232,Jiazi,CN,22.8779,116.067,72.91,82,100,6.78,overcast clouds
233,Odweyne,SO,9.4092,45.064,78.84,59,35,10.49,scattered clouds
234,The Valley,AI,18.217,-63.0578,82.54,69,40,16.11,scattered clouds
235,San Ignacio,BZ,17.1561,-89.0714,100.54,44,40,4.61,scattered clouds
236,Poso,ID,-1.3959,120.7524,78.6,88,100,4.14,overcast clouds
237,Zhigansk,RU,66.7697,123.3711,23.56,86,100,8.88,overcast clouds
238,Luderitz,NA,-26.6481,15.1594,56.37,74,0,19.33,clear sky
239,Soe,ID,-9.8607,124.284,66.72,94,60,5.21,broken clouds
240,Richards Bay,ZA,-28.783,32.0377,68.0,92,27,4.43,scattered clouds
241,Erdenet,MN,49.0333,104.0833,42.96,65,0,6.08,clear sky
242,Yenagoa,NG,4.9247,6.2642,78.01,93,100,4.27,overcast clouds
243,Flin Flon,CA,54.7682,-101.865,62.44,45,100,5.75,overcast clouds
244,Buraydah,SA,26.326,43.975,77.45,19,0,9.73,clear sky
245,Bereda,ES,43.2686,-7.5406,55.58,94,100,3.38,overcast clouds
246,Taua,BR,-5.9667,-40.3,82.85,50,99,9.69,overcast clouds
247,Rovenki,UA,48.0833,39.3776,43.45,54,96,5.55,overcast clouds
248,Townsville,AU,-19.25,146.8,72.48,94,100,9.22,overcast clouds
249,Remanso,BR,-9.6179,-42.0831,82.18,43,2,5.7,clear sky
250,Kysyl-Syr,RU,63.8986,122.7617,34.16,98,100,6.89,overcast clouds
251,Casablanca,MA,33.5928,-7.6192,68.22,78,24,7.23,few clouds
252,Portsmouth,GB,50.799,-1.0913,60.85,82,64,6.62,broken clouds
253,Kangaatsiaq,GL,68.3065,-53.4641,26.2,82,10,7.52,clear sky
254,Dronten,NL,52.5,5.7167,55.04,81,11,10.18,few clouds
255,Verkhoyansk,RU,67.5447,133.385,16.16,83,93,2.86,overcast clouds
256,Meleuz,RU,52.9667,55.9167,40.87,61,44,3.29,scattered clouds
257,Izumo,JP,35.3667,132.7667,55.35,69,82,10.16,broken clouds
258,Boca Do Acre,BR,-8.7522,-67.3978,81.41,69,90,2.28,overcast clouds
259,Kojetin,CZ,49.3518,17.3021,59.38,87,100,4.14,overcast clouds
260,Isangel,VU,-19.55,169.2667,76.62,61,10,17.76,clear sky
261,Biloela,AU,-24.4167,150.5,61.21,79,71,8.16,broken clouds
262,Sao Filipe,CV,14.8961,-24.4956,74.21,78,48,14.52,scattered clouds
263,Jutai,BR,-5.1833,-68.9,73.53,98,100,1.05,overcast clouds
264,Grand-Lahou,CI,5.1367,-5.0242,81.18,81,91,8.08,overcast clouds
265,Aykhal,RU,66.0,111.5,31.84,99,100,14.12,overcast clouds
266,Guangzhou,CN,23.1167,113.25,73.35,88,96,1.54,overcast clouds
267,Nagua,DO,19.3832,-69.8474,88.11,62,20,5.75,few clouds
268,Tahe,CN,52.3333,124.7333,34.92,45,0,2.28,clear sky
269,Ravenna,IT,44.4167,11.9833,60.91,91,100,4.92,overcast clouds
270,Sobolevo,RU,54.4299,31.8996,48.87,86,97,9.73,overcast clouds
271,Katsuura,JP,35.1333,140.3,63.28,92,43,6.04,scattered clouds
272,Chuy,UY,-33.6971,-53.4616,61.21,78,37,5.26,scattered clouds
273,Kamsack,CA,51.5667,-101.9009,68.07,56,100,18.63,overcast clouds
274,Nikolskoye,RU,59.7035,30.7861,54.88,88,100,5.06,overcast clouds
275,Waverly,US,42.7392,-84.6208,66.13,32,0,14.97,clear sky
276,Nioro,GM,13.35,-15.75,85.68,36,8,11.1,clear sky
277,Huarmey,PE,-10.0681,-78.1522,70.36,77,14,11.25,few clouds
278,Debre Birhan,ET,9.6833,39.5333,53.8,54,14,4.72,few clouds
279,Saskylakh,RU,71.9167,114.0833,2.55,96,19,7.56,few clouds
280,Khairagarh,IN,26.95,77.8167,87.6,19,0,6.78,clear sky
281,Rincon,US,32.296,-81.2354,80.56,36,75,19.57,broken clouds
282,Fez,MA,34.0372,-4.9998,64.65,55,0,6.91,clear sky
283,El Tigre,VE,8.8875,-64.2454,80.13,57,100,5.66,overcast clouds
284,Nome,US,64.5011,-165.4064,32.16,93,100,19.57,light snow
285,Gat,IL,31.61,34.7642,63.28,72,51,4.47,broken clouds
286,Srednekolymsk,RU,67.45,153.6833,23.61,91,99,9.22,overcast clouds
287,Sinjai,ID,-5.1241,120.253,76.26,94,88,2.08,moderate rain
